17.6317	35.546	13.5513	0.0108	89.2314	30.9635	289.728	7.9474	48.2872	18.178
20.8953	32.2592	7.818	0	90.2309	36.8424	302.8278	6.6772	55.8979	17.4882
15.9098	46.6137	8.4793	0.137	84.5356	38.5891	323.3902	3.5461	58.992	10.7418
16.9609	27.6275	21.3348	0.0394	91.0196	47.6539	378.281	15.2476	72.0722	35.5115
20.6059	42.013	6.3118	0.0628	90.239	52.3556	432.6791	6.4415	79.2625	20.5091
20.1371	62.5403	12.347	0.4493	75.2467	33.2511	368.6889	2.1716	53.354	6.7794
20.5462	59.0983	11.071	0.1722	74.2162	37.7648	395.3396	1.6203	60.2263	5.6049
20.4197	48.064	15.4673	0.0485	87.0609	21.3141	431.6657	7.0804	37.6809	14.5884
22.9929	43.6823	5.9897	0.002	87.9485	38.5303	506.5375	4.4183	64.7276	13.8827
21.9485	35.4928	11.8693	0	90.8886	40.8127	310.1895	9.6583	60.7301	23.1701
21.9485	35.4928	11.8693	0	90.8886	40.8127	310.1895	9.6583	60.7301	23.1701
21.9485	35.4928	11.8693	0	90.8886	40.8127	310.1895	9.6583	60.7301	23.1701
21.9485	35.4928	11.8693	0	90.8886	40.8127	310.1895	9.6583	60.7301	23.1701
20.1498	50.3963	7.4957	2.8936	76.6547	33.3467	295.0682	2.1115	51.5168	6.3051
15.9098	46.6137	8.4793	0.137	84.5356	38.5891	323.3902	3.5461	58.992	10.7418
15.9098	46.6137	8.4793	0.137	84.5356	38.5891	323.3902	3.5461	58.992	10.7418
15.9098	46.6137	8.4793	0.137	84.5356	38.5891	323.3902	3.5461	58.992	10.7418
18.3453	50.9245	12.752	0.0588	86.1134	41.0727	330.1044	5.3314	62.1572	15.4027
19.6045	64.2212	9.6042	4.9583	69.3171	23.6597	304.2498	1.9087	38.9986	5.0068
22.7947	55.2607	8.829	0	86.5901	12.0395	216.1222	4.3964	20.7441	7.1097
14.4678	34.3063	13.8189	0.1518	88.8954	27.1606	311.4925	8.1418	44.5835	17.889
17.7478	49.0924	19.7176	0	83.5557	14.2792	259.6774	6.1502	24.5957	10.2397
17.7478	49.0924	19.7176	0	83.5557	14.2792	259.6774	6.1502	24.5957	10.2397
11.6025	43.0781	12.4598	0.0132	89.0907	80.5559	392.5054	7.2054	105.2185	25.3319
11.6025	43.0781	12.4598	0.0132	89.0907	80.5559	392.5054	7.2054	105.2185	25.3319
11.6025	43.0781	12.4598	0.0132	89.0907	80.5559	392.5054	7.2054	105.2185	25.3319
23.7961	41.8097	6.2801	0	88.9079	33.136	316.1909	5.3175	51.9681	13.8676
23.7961	41.8097	6.2801	0	88.9079	33.136	316.1909	5.3175	51.9681	13.8676
21.5714	35.1255	16.151	0	91.5856	44.9538	338.618	12.6315	67.0135	29.7064
21.5714	35.1255	16.151	0	91.5856	44.9538	338.618	12.6315	67.0135	29.7064
21.5714	35.1255	16.151	0	91.5856	44.9538	338.618	12.6315	67.0135	29.7064
21.5714	35.1255	16.151	0	91.5856	44.9538	338.618	12.6315	67.0135	29.7064
21.5714	35.1255	16.151	0	91.5856	44.9538	338.618	12.6315	67.0135	29.7064
25.1579	33.5245	7.1916	0	90.6209	39.9317	416.4592	7.6668	63.4097	20.0618
19.9045	28.0817	19.2026	0	91.15	36.3172	327.8766	15.8259	56.6599	31.2591
19.9045	28.0817	19.2026	0	91.15	36.3172	327.8766	15.8259	56.6599	31.2591
19.9045	28.0817	19.2026	0	91.15	36.3172	327.8766	15.8259	56.6599	31.2591
20.3452	27.7517	18.1439	0	91.7741	40.464	333.9484	14.7074	61.8543	31.721
20.3452	27.7517	18.1439	0	91.7741	40.464	333.9484	14.7074	61.8543	31.721
15.1009	22.5278	7.9619	0	91.191	54.547	347.6076	7.5851	78.1173	23.0386
25.6761	31.699	17.3162	0.0304	91.7783	41.4618	331.034	13.9771	62.6567	30.7545
19.3862	30.1518	20.0354	0	89.3825	29.8813	192.178	13.739	42.0229	24.8155
19.3862	30.1518	20.0354	0	89.3825	29.8813	192.178	13.739	42.0229	24.8155
11.3999	30.31	26.3889	0	77.694	18.2121	137.3657	15.8711	26.4879	22.0422
21.5714	35.1255	16.151	0	91.5856	44.9538	338.618	12.6315	67.0135	29.7064
21.5714	35.1255	16.151	0	91.5856	44.9538	338.618	12.6315	67.0135	29.7064
21.5714	35.1255	16.151	0	91.5856	44.9538	338.618	12.6315	67.0135	29.7064
15.9019	33.1082	35.6602	0	89.6042	60.2577	547.2496	27.6132	90.7933	55.6924
15.9019	33.1082	35.6602	0	89.6042	60.2577	547.2496	27.6132	90.7933	55.6924
15.2548	36.0574	17.8865	0	91.272	86.7569	503.8941	13.1292	120.4618	40.2976
23.8804	51.1305	7.7407	0	85.5629	61.4287	463.7634	3.5029	90.2327	13.7324
19.4813	29.6635	18.8639	0.0538	86.2431	15.8879	36.1748	7.9876	11.1938	9.9713
19.7885	43.1982	28.8076	0.5779	86.5896	37.3037	284.5478	12.0746	54.7941	25.2604
19.1177	44.1774	21.896	0	88.1987	40.0782	291.6682	10.9252	58.27	24.8646
19.1177	44.1774	21.896	0	88.1987	40.0782	291.6682	10.9252	58.27	24.8646
18.5896	29.9047	15.771	2.8952	79.0667	30.8091	90.4364	4.8684	33.2931	9.5766
23.1195	33.6611	13.9936	0.0066	90.8288	20.4827	56.496	10.061	21.1966	14.4407
19.5614	33.7813	20.0897	0	90.2255	39.5441	192.3422	13.919	51.0362	26.9066
19.5614	33.7813	20.0897	0	90.2255	39.5441	192.3422	13.919	51.0362	26.9066
